Date;Price;Open;High;Low;Vol.;Change %;;Kolumna B: symbol → wpisz HG=F we wszystkich wierszach (przeciągnij w dół)
01.08.2025;30.69;30.655;31.27;30.65;39.72K;0.01%;;
01.07.2025;30.686;30.485;31.045;30.455;44.22K;0.34%;;
01.06.2025;30.583;30.095;31.025;30.41;48.06K;2.28%;;
01.02.2025;29.9;29.31;30.38;29.935;32.80K;1.66%;;
12/30/2024;29.412;29.98;29.48;29.2;27.41K;-2.72%;;
12/26/2024;30.234;30.19;30.465;29.89;29.44K;0.58%;;
12/23/2024;30.06;30.04;30.37;30.11;16.98K;2.66%;;
12/19/2024;29.282;29.665;30.235;29.195;58.03K;-4.34%;;
12/18/2024;30.61;30.73;30.14;29.145;67.60K;-0.60%;;
12/17/2024;30.796;30.91;31.045;29.755;49.41K;-0.42%;;
12/16/2024;30.927;30.88;31.11;30.615;39.63K;-1.76%;;
12.12.2024;31.482;32.88;31.63;30.755;61.92K;-4.09%;;
12.11.2024;32.823;32.54;33.33;31.495;93.75K;0.65%;;
12.10.2024;32.612;32.46;33.14;32.41;78.14K;0.40%;;
12.09.2024;32.481;31.46;32.795;32.305;61.73K;3.42%;;
12.05.2024;31.406;31.815;31.935;31.32;61.55K;-1.20%;;
12.04.2024;31.786;31.36;31.95;31.505;50.78K;1.35%;;
12.03.2024;31.363;30.925;32.07;31.065;75.75K;2.02%;;
12.02.2024;30.742;30.785;31.57;30.92;54.34K;0.94%;;
11/27/2024;30.455;30.93;31.375;30.095;72.02K;-0.37%;;
11/26/2024;30.567;30.51;31.185;30.435;58.51K;0.56%;;
11/25/2024;30.396;31.7;30.74;30.025;55.22K;-2.26%;;
11/21/2024;31.099;31.11;31.47;30.805;62.70K;-0.19%;;
11/20/2024;31.159;31.465;31.38;30.715;62.74K;-0.82%;;
11/19/2024;31.417;31.415;31.42;30.86;56.01K;0.12%;;
11/18/2024;31.379;30.53;31.615;31.125;60.77K;2.13%;;
11/14/2024;30.724;30.54;30.9;30.26;56.03K;-0.30%;;
11/13/2024;30.817;31.16;30.74;29.75;77.00K;-0.32%;;
11.12.2024;30.915;30.935;31.255;30.385;71.74K;0.48%;;
11.11.2024;30.768;31.575;30.93;30.28;73.67K;-3.89%;;
11.07.2024;32.013;31.44;32.17;31.3;73.37K;1.68%;;
11.06.2024;31.485;32.935;32.265;30.96;79.34K;-4.40%;;
11.05.2024;32.934;32.735;32.85;30.94;123.53K;0.52%;;
11.04.2024;32.765;32.72;33.055;32.355;50.45K;-0.57%;;
10/31/2024;32.953;34.01;33.25;32.46;68.25K;-3.74%;;
10/30/2024;34.234;34.74;34.04;32.64;95.03K;-0.60%;;
10/29/2024;34.441;33.845;34.69;33.565;73.11K;1.29%;;
10/28/2024;34.001;33.83;34.725;33.765;75.73K;0.61%;;
10/24/2024;33.795;33.875;34.195;33.26;69.50K;-0.13%;;
10/23/2024;33.839;35.055;34.48;33.42;79.66K;-3.43%;;
10/22/2024;35.041;34.01;35.07;33.61;100.74K;2.83%;;
10/21/2024;34.078;33.9;35.07;33.97;86.07K;7.25%;;
10/17/2024;31.774;31.905;33.97;31.855;104.14K;-0.63%;;
10/16/2024;31.974;31.685;32.22;31.485;62.55K;0.69%;;
10/15/2024;31.756;31.4;32.385;31.6;50.22K;1.41%;;
10/14/2024;31.316;31.73;31.89;30.95;53.23K;0.24%;;
10.10.2024;31.24;30.71;31.845;31.26;44.08K;1.86%;;
10.09.2024;30.67;30.86;31.4;30.57;55.40K;0.23%;;
10.08.2024;30.6;31.945;31.005;30.435;52.15K;-4.39%;;
10.07.2024;32.004;32.45;32.02;30.345;96.75K;-1.42%;;
10.03.2024;32.464;32.1;33.225;31.755;86.41K;1.70%;;
10.02.2024;31.92;31.705;32.485;31.65;56.40K;0.56%;;
10.01.2024;31.742;31.42;32.59;31.26;71.06K;0.90%;;
09/30/2024;31.458;31.945;32.145;31.38;61.99K;-2.29%;;
09/26/2024;32.195;32.04;32.59;31.635;75.15K;1.02%;;
09/25/2024;31.87;32.33;33.02;32.035;94.20K;-1.27%;;
09/24/2024;32.28;30.9;32.61;31.87;85.61K;4.33%;;
09/23/2024;30.94;30.915;32.6;30.96;115.08K;-1.09%;;
09/19/2024;31.281;30.355;31.755;31.04;76.17K;2.42%;;
09/18/2024;30.542;30.67;31.625;30.22;77.05K;-0.95%;;
09/17/2024;30.834;30.955;31.585;30.035;85.43K;-0.50%;;
09/16/2024;30.99;31.1;31.35;30.86;48.35K;3.41%;;
09.12.2024;29.967;29.04;31.28;30.19;84.16K;4.08%;;
09.11.2024;28.793;28.88;30.25;28.85;80.35K;1.08%;;
09.10.2024;28.484;28.5;29.215;28.39;69.78K;-0.13%;;
09.09.2024;28.521;27.96;28.89;28.36;47.04K;-1.52%;;
09.05.2024;28.96;28.47;29.47;28.01;89.00K;1.90%;;
09.04.2024;28.421;28.05;29.55;28.535;64.09K;0.76%;;
09.03.2024;28.208;28.65;28.715;28.11;46.98K;-3.56%;;
09.01.2024;29.25;29.188;29.35;28.055;91.64K;-1.93%;;
08/29/2024;29.827;29.56;30;29.08;60.31K;1.66%;;
08/28/2024;29.34;30.14;30.085;29.54;70.38K;-2.61%;;
08/27/2024;30.125;30.055;30.1;29.08;42.40K;-0.10%;;
08/26/2024;30.155;30.03;30.11;29.7;50.31K;3.32%;;
08/22/2024;29.185;29.73;29.915;28.945;72.56K;-1.65%;;
08/21/2024;29.676;29.525;29.7;28.795;76.46K;0.06%;;
08/20/2024;29.659;29.61;29.77;29.23;51.59K;0.74%;;
08/19/2024;29.44;29.22;30.035;29.255;75.64K;3.12%;;
08/15/2024;28.548;27.81;29.095;28.085;62.56K;3.93%;;
08/14/2024;27.469;28.055;28.58;27.525;87.14K;-1.60%;;
08/13/2024;27.916;28;28.175;27.23;65.28K;-0.77%;;
08.12.2024;28.134;27.63;28.135;27.51;57.95K;1.45%;;
08.08.2024;27.733;27.025;27.84;27.325;61.40K;2.45%;;
08.07.2024;27.069;27.15;27.69;26.505;71.71K;-0.99%;;
08.06.2024;27.341;27.55;27.365;26.665;65.06K;0.01%;;
08.05.2024;27.338;28.72;27.67;26.7;64.12K;-4.44%;;
08.01.2024;28.607;29.07;29.355;28.06;100.39K;-1.60%;;
07/31/2024;29.073;28.965;29.29;28.335;78.38K;1.35%;;
07/30/2024;28.685;28.435;29.185;28.39;62.49K;2.94%;;
07/29/2024;27.866;28.06;28.56;27.765;54.37K;-0.39%;;
07/25/2024;27.975;29.075;28.22;27.75;61.46K;-4.57%;;
07/24/2024;29.316;29.42;29.08;27.555;117.21K;-0.05%;;
07/23/2024;29.331;29.315;29.63;29.065;54.91K;0.03%;;
07/22/2024;29.321;29.425;29.48;28.825;54.42K;-2.99%;;
07/18/2024;30.224;30.505;30.03;29.06;78.42K;-0.50%;;
07/17/2024;30.377;31.495;30.8;29.94;71.73K;-3.44%;;
07/16/2024;31.458;30.93;31.655;30.255;97.92K;1.69%;;
07/15/2024;30.936;31.1;31.635;30.72;69.79K;-2.32%;;
07.11.2024;31.671;31.07;31.725;30.62;72.45K;2.12%;;
07.10.2024;31.014;31.085;32.015;31.07;79.92K;-0.14%;;
07.09.2024;31.056;31.02;31.445;30.915;50.63K;0.46%;;
07.08.2024;30.913;31.475;31.435;30.785;54.92K;0.23%;;
07.03.2024;30.842;29.815;31.79;30.45;100.15K;3.99%;;
07.02.2024;29.658;29.765;30.975;29.77;75.32K;0.15%;;
07.01.2024;29.613;29.445;30.125;29.49;52.27K;1.22%;;
06/27/2024;29.256;29.08;29.955;29.07;51.91K;0.57%;;
06/26/2024;29.091;29.145;29.575;28.99;63.25K;0.22%;;
06/25/2024;29.028;29.735;29.095;28.58;52.02K;-2.21%;;
06/24/2024;29.685;29.75;29.69;28.855;81.09K;-4.18%;;
06/20/2024;30.981;29.74;30.905;29.505;104.47K;4.25%;;
06/18/2024;29.717;29.72;30.845;29.41;130.79K;0.58%;;
06/17/2024;29.545;29.71;29.76;28.985;71.78K;1.13%;;
06/13/2024;29.216;29.86;29.65;28.905;76.88K;-3.96%;;
06.12.2024;30.422;29.63;29.83;28.73;116.61K;3.53%;;
06.11.2024;29.386;29.515;30.355;29.28;109.79K;-2.14%;;
06.10.2024;30.03;29.455;29.985;29.135;85.65K;-4.76%;;
06.06.2024;31.532;30.615;31.67;29.22;139.79K;4.31%;;
06.05.2024;30.229;29.96;31.47;30.065;95.06K;1.54%;;
06.04.2024;29.772;31.07;30.185;29.525;69.64K;-3.78%;;
06.03.2024;30.942;30.765;31.04;29.505;110.38K;-2.33%;;
05/30/2024;31.68;32.5;31.945;30.345;112.55K;-2.14%;;
05/29/2024;32.373;32.31;32.28;31.18;98.38K;0.73%;;
05/28/2024;32.137;30.565;32.515;31.78;87.06K;4.63%;;
05/26/2024;30.715;30.545;32.45;30.555;142.58K;0.85%;;
05/23/2024;30.455;31.015;30.835;30.235;55.07K;-3.31%;;
05/22/2024;31.496;32.225;31.185;30.265;107.27K;-1.81%;;
05/21/2024;32.078;32.055;32.44;30.965;93.21K;-1.07%;;
05/20/2024;32.426;31.85;32.72;31.28;112.62K;8.54%;;
05/16/2024;29.876;29.9;31.85;29.7;132.93K;0.49%;;
05/15/2024;29.729;28.855;30.105;29.555;91.44K;3.58%;;
05/14/2024;28.702;28.42;29.99;28.675;117.42K;0.91%;;
05/13/2024;28.443;28.42;28.985;28.31;70.50K;0.27%;;
05.09.2024;28.365;27.56;29;28.27;77.59K;2.77%;;
05.08.2024;27.601;27.475;28.58;27.515;79.43K;0.21%;;
05.07.2024;27.544;27.715;27.725;27.24;51.14K;-0.25%;;
05.06.2024;27.614;26.81;27.77;27.39;47.44K;2.93%;;
05.02.2024;26.829;26.905;27.14;26.345;65.99K;0.30%;;
05.01.2024;26.748;26.55;27.065;26.255;63.28K;0.35%;;
